subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, exp_value1, exp_value2, exp_value3, exp_value4, reward
2, practice, 0, 1 second, 1, 4, 2, 4.png, 2.png, 0.35, 0.55, 0.55, left, 1, 2, 4, 2.png, 4.png, 0.65, 0.55, 0.45, 0.35,1
2, practice, 0, 1 second, 2, 2, 3, 2.png, 3.png, 0.45, 0.55, 0.55, left, 1, 3, 2, 3.png, 2.png, 0.65, 0.55, 0.45, 0.35,0,
2, practice, 0, 1 second, 3, 2, 3, 2.png, 3.png, 0.45, 0.55, 0.45, right, 2, 2, 3, 2.png, 3.png, 0.65, 0.55, 0.45, 0.35,1
2, practice, 0, 1 second, 4, 1, 3, 1.png, 3.png, 0.45, 0.65, 0.65, left, 1, 3, 1, 3.png, 1.png, 0.65, 0.55, 0.45, 0.35,0,
2, practice, 0, 1 second, 5, 1, 4, 1.png, 4.png, 0.35, 0.65, 0.65, left, 1, 4, 1, 4.png, 1.png, 0.65, 0.55, 0.45, 0.35,1
2, test, 1, 7 seconds, 1, f, g, f.png, g.png, 0.45, 0.55, 0.55, left, 1, g, f, g.png, f.png, 0.65, 0.55, 0.45, 0.35,1
2, test, 1, 7 seconds, 2, g, f, g.png, f.png, 0.45, 0.55, 0.55, left, 1, f, g, f.png, g.png, 0.65, 0.55, 0.45, 0.35,0,
2, test, 1, 7 seconds, 3, g, h, g.png, h.png, 0.35, 0.45, 0.45, left, 1, h, g, h.png, g.png, 0.65, 0.55, 0.45, 0.35,0,
2, test, 1, 7 seconds, 4, g, f, g.png, f.png, 0.45, 0.55, 0.55, left, 1, f, g, f.png, g.png, 0.65, 0.55, 0.45, 0.35,0,
2, test, 1, 7 seconds, 5, e, g, e.png, g.png, 0.45, 0.65, 0.65, left, 1, g, e, g.png, e.png, 0.65, 0.55, 0.45, 0.35,0,
